sample_id,sample_type,alumina_content,silica_content,calcia_content,sintering_temperature,holding_time,heating_rate,cooling_rate,alpha_alumina_phase,calcium_aluminate_phase,mullite_phase,glass_phase,grain_size,grain_uniformity,total_porosity,closed_porosity,open_porosity,pore_size,fracture_toughness,flexural_strength,youngs_modulus
CER-001,composition_series,85,11.75,3.25,1600,4,10,5,81.3,8.8,20,11,1.5,0.5,11.83,5.92,5.92,0.1,2.55,525.5,309.1
CER-002,composition_series,85.02,10.37,4.6,1600,4,10,5,81,12.5,20,10,1.28,0.435,11.56,5.78,5.78,0.1,2.57,574.7,316.8
CER-003,composition_series,85.05,11.3,3.65,1600,4,10,5,81.3,10.7,20,10,1.32,0.489,10.94,5.47,5.47,0.1,3.08,552.2,310.6
CER-004,composition_series,85.07,10.63,4.29,1600,4,10,5,82.2,11.2,20,10.1,1.24,0.426,11.65,5.82,5.82,0.1,3.09,544.8,318.3
CER-005,composition_series,85.1,8.56,6.34,1600,4,10,5,82.7,15,17.2,8.8,1.06,0.5,10.67,5.34,5.34,0.1,2.71,570.8,324.5
CER-006,composition_series,85.12,9.5,5.38,1600,4,10,5,81.4,14.2,18.7,8.5,1.31,0.5,12.44,6.22,6.22,0.1,2.9,515.9,305.8
CER-007,composition_series,85.14,11.86,3,1600,4,10,5,80.3,8.3,20,10.7,1.17,0.5,10.11,5.05,5.05,0.1,2.74,579,316.3
CER-008,composition_series,85.17,8,6.83,1600,4,10,5,81.7,15,16.3,8,1.41,0.5,11.19,5.59,5.59,0.1,2.61,557.4,317.4
CER-009,composition_series,85.19,10.76,4.05,1600,4,10,5,79.8,11.2,20,8.9,1.28,0.5,10.51,5.25,5.25,0.1,2.6,544.2,317.2
CER-010,composition_series,85.22,9.43,5.35,1600,4,10,5,80.5,14.2,18.1,9.4,1.37,0.5,11.09,5.54,5.54,0.1,2.91,576.6,314.9
CER-011,composition_series,85.24,10.18,4.58,1600,4,10,5,81,12.1,18.8,9.2,1.36,0.5,11.35,5.67,5.67,0.1,2.84,540.3,310
CER-012,composition_series,85.26,8.9,5.84,1600,4,10,5,80.8,15,17.5,8.6,1.45,0.454,11.78,5.89,5.89,0.1,2.87,543,313.8
CER-013,composition_series,85.29,11.27,3.44,1600,4,10,5,81.4,9.5,20,9.1,1.33,0.447,11.5,5.75,5.75,0.1,3.11,539,313
CER-014,composition_series,85.31,7.94,6.75,1600,4,10,5,79.8,15,16.3,7,1.86,0.494,10.87,5.43,5.43,0.1,2.89,536.8,323.1
CER-015,composition_series,85.34,8.09,6.57,1600,4,10,5,82.6,15,15.4,8.3,1.02,0.5,11.55,5.77,5.77,0.1,2.85,563.8,308.5
CER-016,composition_series,85.36,9.45,5.19,1600,4,10,5,81.7,13.1,17.6,9,0.91,0.5,10.72,5.36,5.36,0.1,2.75,597.4,318.1
CER-017,composition_series,85.38,7.57,7.05,1600,4,10,5,81.1,15,15.2,8.8,1.06,0.5,11.57,5.78,5.78,0.1,2.97,552.2,320.9
CER-018,composition_series,85.41,8.36,6.24,1600,4,10,5,83.5,15,17.4,8.9,1.02,0.5,11.55,5.78,5.78,0.1,2.49,582.5,309.8
CER-019,composition_series,85.43,7.83,6.74,1600,4,10,5,81.6,15,14.6,7,1.25,0.463,11.31,5.66,5.66,0.1,2.81,552.4,312.9
CER-020,composition_series,85.46,7.81,6.73,1600,4,10,5,80,15,14.4,7.8,1.38,0.5,12.6,6.3,6.3,0.1,2.82,504.1,309.7
CER-021,composition_series,85.48,8.2,6.32,1600,4,10,5,82.5,15,15.7,8.5,1.15,0.5,11.76,5.88,5.88,0.1,2.61,546.6,310
CER-022,composition_series,85.51,11.3,3.19,1600,4,10,5,82.8,8.4,20,10,1.38,0.489,11.35,5.67,5.67,0.1,2.81,523.9,310.3
CER-023,composition_series,85.53,9.82,4.65,1600,4,10,5,81.7,11.9,18.8,9.4,1.14,0.49,11.3,5.65,5.65,0.1,2.93,528.3,308.8
CER-024,composition_series,85.55,8.95,5.5,1600,4,10,5,82.2,13.8,17,8.3,1.23,0.5,11.89,5.95,5.95,0.1,2.51,536.8,311.6
CER-025,composition_series,85.58,9.67,4.75,1600,4,10,5,80.5,12.9,18.2,9.5,1.5,0.5,11.99,5.99,5.99,0.1,2.76,499.5,304.6
CER-026,composition_series,85.6,8.17,6.23,1600,4,10,5,79.2,15,16.5,7.6,1.16,0.5,11.17,5.59,5.59,0.1,3.11,597.1,315.6
CER-027,composition_series,85.63,9.73,4.65,1600,4,10,5,80.3,12.4,19.3,8.8,1.25,0.5,11.37,5.68,5.68,0.1,2.87,568,314.6
CER-028,composition_series,85.65,9.27,5.08,1600,4,10,5,81.2,13.7,18.2,8.2,1.07,0.5,10.86,5.43,5.43,0.1,2.8,582.8,317.4
CER-029,composition_series,85.67,8.47,5.86,1600,4,10,5,81.9,15,16.9,7.8,1.62,0.5,11.64,5.82,5.82,0.1,2.64,526.4,313
CER-030,composition_series,85.7,7.49,6.82,1600,4,10,5,81.9,15,15.2,7.7,1.4,0.381,10.84,5.42,5.42,0.1,2.94,563.7,310.4
