fixed acidity,chlorides,total sulfur dioxide,pH,alcohol,type
12.2,0.075,6,3.13,10.4,r
9.1,0.065,17,3.32,10.5,r
9.5,0.079,28,3.25,10,r
7.3,0.07,70,3.34,12.9,r
9.1,0.065,17,3.32,10.5,r
12.2,0.075,6,3.13,10.4,r
7.4,0.064,11,3.45,11.3,r
9.8,0.066,7,3.19,11.4,r
7.1,0.08,70,3.44,9.4,r
7.7,0.097,27,3.16,9.4,r
9.7,0.073,21,3.14,10.9,r
7.7,0.097,27,3.16,9.4,r
7.1,0.082,68,3.45,9.4,r
6.5,0.076,47,3.36,9.4,r
7.1,0.082,68,3.45,9.4,r
10,0.092,88,3.15,9.4,r
7.7,0.079,41,3.39,,r
5.6,0.087,11,3.71,12.8,r
5.6,0.087,11,3.71,12.8,r
8.9,0.05,10,3.12,9.1,r
6.4,0.055,12,3.47,12.9,r
7.5,0.062,12,3.44,11.5,r
9.9,0.058,47,3.26,10.6,r
9.1,0.063,27,3.26,11.7,r
6.8,0.067,8,3.36,12.8,r
8.2,0.081,45,3.25,10.3,r
6.8,0.067,8,,12.8,r
9.1,0.063,27,3.26,11.7,r
9.1,0.064,25,3.26,11.7,r
8.9,0.11,24,3.23,12,r
9.6,0.116,55,,10.9,r
8.9,0.067,12,3.25,12.3,r
8.9,0.088,19,3.17,10.4,r
7.7,0.102,32,3.23,10,r
7.5,0.092,31,,10,r
8,0.12,7,3.22,11.2,r
10.5,0.075,27,3.06,11.4,r
8.9,0.068,28,3.27,12.6,r
8,0.049,,2.89,12.7,r
8,0.049,109,2.89,12.7,r
7,0.078,23,3.53,10.4,r
11.3,0.123,8,3.2,11.9,r
11.3,0.123,8,3.2,11.9,r
7,0.062,9,3.35,10.5,r
8.2,0.098,9,3.27,12.3,r
7.7,0.088,18,3.32,10.5,r
8.6,0.095,43,3.33,10.4,r
7.9,0.066,36,3.41,12.6,r
6.4,0.065,52,3.49,11.6,r
7.2,0.075,68,3.37,10.1,r
7.7,0.088,18,3.32,10.5,r
7.1,0.091,14,3.42,11.5,r
7.3,0.093,15,3.35,11,r
8.1,0.095,14,3.36,9.6,r
7.5,0.089,27,3.3,10.4,r
8.9,0.077,48,3.2,9.7,r
10.1,0.085,17,3.17,10.6,r
7.6,0.082,35,3.22,12.5,r
7.3,0.074,56,3.35,9.2,r
8.7,0.078,42,3.24,12.6,r
8.9,0.088,39,3.33,11.1,r
7.4,0.088,32,3.58,10.2,r
6.9,0.079,26,3.38,9.8,r
8.9,0.088,39,3.33,11.1,r
9.5,0.069,39,3.29,10.9,r
6.4,0.046,53,3.36,12.2,r
6.9,0.07,38,3.32,11.4,r
7.6,0.076,45,3.31,10.7,r
7.1,0.082,51,3.49,10.4,r
9.3,0.081,14,3.27,10.9,r
9.3,0.084,17,3.27,10.8,r
7.1,0.082,51,3.49,10.4,r
8.5,0.414,45,3.03,9.2,r
5.6,0.073,25,3.56,12.9,r
8.3,0.07,20,3.38,12.7,r
8.2,0.095,77,3.13,9.1,r
8.2,0.095,77,3.13,9.1,r
8.9,0.101,10,3.21,12.1,r
7.6,0.104,90,3.15,9.1,r
9.9,0.093,52,3.19,11.6,r
8.9,0.101,10,3.21,12.1,r
11.6,0.074,8,3.14,9.9,r
9.1,0.071,16,3.21,12.5,r
8,0.098,15,3.3,11.4,r
10.2,0.075,17,3.22,11.8,r
8.2,0.067,10,3.28,11.8,r
7.7,0.083,20,3.29,10.2,r
6.6,0.07,26,3.4,12.5,r
11.1,0.06,10,3.02,10.9,r
11.1,0.06,10,3.02,10.9,r
8,0.086,52,3.31,10.8,r
9.3,0.057,37,3.18,11.1,r
7.5,0.098,92,3.2,9.2,r
7.2,0.083,75,3.4,9.5,r
8,0.088,37,3.31,10.7,r
7.5,0.098,92,3.2,9.2,r
9.1,0.071,67,3.44,10.2,r
9.9,0.073,8,3.15,11.4,r
8.6,0.08,8,3.27,11,r
8.6,0.08,8,3.27,11,r
7.9,0.05,278,3.01,12.3,r
10.3,0.047,8,3.16,11.8,r
7.9,0.05,289,3.01,12.3,r
7.2,0.073,70,3.42,9.5,r
8.7,0.072,59,3.33,12,r
7.2,0.073,70,3.42,9.5,r
6.8,0.074,64,3.12,9.6,r
8.5,0.055,9,3.38,11.6,r
7.9,0.057,30,3.29,11.2,r
11.6,0.095,41,3.02,9.9,r
11.6,0.095,41,3.02,9.9,r
10,0.083,74,2.98,11.8,r
7.9,0.086,19,3.35,11.4,r
7,0.081,16,3.43,11.5,r
9.2,0.079,31,3.33,12,r
